"Идентификатор";"Элемент";"Корпус";"Количество";"Номинал";"Supplier and ref";
1;"X1";"vasch_strip_20x2";1;"IDC40";;;
2;"C24,C5,C20,C18,C11,C7";"c_tant_B";6;"10uF";;;
3;"Y1";"crystal_hc-49u";1;"CRYSTAL";;;
4;"U3,U1";"sc70-5";2;"MAX8511";;;
5;"R11,R10,R6,R5,R4,R3";"SM0603";6;"10K";;;
6;"R9,R8,R2,R1";"SM0603";4;"37.5k";;;
7;"R7";"SM0603";1;"1M";;;
8;"L2,L1";"SM0603";2;"TDK_MMZ1608R301A";;;
9;"C23,C22,C21,C19,C17,C16,C15,C10,C9,C8,C6,C4,C3,C2";"SM0603";14;"0.1uF";;;
10;"C14,C1";"SM0603";2;"1uF";;;
11;"C13,C12";"SM0603";2;"47pF";;;
12;"U2,U4";"QSOP28";2;"MAX9526";;;
13;"IN1,IN2";"RC-39";2;"RCA_SOCKET";;;
